IncidentID,EquipmentID,EquipmentName,IncidentDate,IncidentTime,IncidentType,Category,Severity,Description,Location,ReportedBy,Shift,PersonnelInvolved,InjuryType,ImmediateAction,RootCause,CorrectiveAction,Status,DaysLost
INC-00120,PU001,Centrifugal Pump,2024-01-04,13:25,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Unit-2,Shift Incharge,C,3,None,"Equipment isolated, LOTO applied",Human Error,Procedure updated,Investigating,0
INC-00121,JC001,Jaw Crusher,2024-07-04,09:12,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Power House,Operator-2,B,3,None,"Area cordoned off, ERT informed",Design Defect,Procedure updated,Closed,0
INC-00122,BF001,Bag Filter,2024-11-25,04:26,Confined Space Hazard,Safety,High,Worker entered without gas test,Power House,Operator-2,C,2,None,Fire extinguisher deployed,Procedural Lapse,PPE compliance reinforced,Investigating,0
INC-00123,AC001,Air Compressor,2023-01-22,09:35,Pressure Vessel Leak,Mechanical,High,Air receiver developed crack,Silo Area,Maintenance Engineer,B,5,Major,"Equipment isolated, LOTO applied",Environmental Factor,Re-training scheduled,Investigating,18
INC-00124,BC001,Belt Conveyor,2023-08-09,11:59,Material Spillage,Environmental,Medium,Material spillage from skirt board,Unit-2,Operator-1,B,3,None,Spill contained with absorbent,Environmental Factor,Re-training scheduled,Investigating,0
INC-00125,ENG001,Cummins Engine,2023-12-08,06:15,Fuel Spill,Environmental,Medium,Diesel spill during refueling,Stockyard,Shift Incharge,A,5,None,"Equipment isolated, LOTO applied",Material Failure,Guarding installed,Closed,0
INC-00126,BC001,Belt Conveyor,2024-05-08,08:00,Material Spillage,Environmental,Medium,Material spillage from skirt board,Unit-2,Maintenance Engineer,A,2,None,"First aid administered, ambulance called",Design Defect,PPE compliance reinforced,Open,0
INC-00127,JC001,Jaw Crusher,2023-08-22,06:54,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Power House,Operator-2,A,2,Minor,"Production stopped, supervisor informed",Inadequate Inspection,Re-training scheduled,Open,15
INC-00128,AC001,Air Compressor,2023-01-05,21:18,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Silo Area,Operator-2,A,0,Minor,"Production stopped, supervisor informed",Design Defect,Guarding installed,Closed,7
INC-00129,ENG001,Cummins Engine,2023-05-30,00:43,Exhaust Leak,Safety,Medium,CO detected near engine room,Power House,Maintenance Engineer,C,0,None,"Area cordoned off, ERT informed",Material Failure,Re-training scheduled,Closed,0
INC-00130,RK001,Rotary Kiln,2024-04-04,00:44,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Unit-1,Operator-1,C,3,None,Spill contained with absorbent,Procedural Lapse,Procedure updated,Investigating,0
INC-00131,BE001,Bucket Elevator,2023-07-08,20:05,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Stockyard,Shift Incharge,A,0,None,"Production stopped, supervisor informed",Design Defect,Frequency of inspection increased,Closed,0
INC-00132,BM001,Ball Mill,2023-03-17,13:49,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Unit-1,Safety Officer,C,4,None,"Production stopped, supervisor informed",Material Failure,Procedure updated,Open,0
INC-00133,BF001,Bag Filter,2023-08-13,23:18,Bag House Fire,Fire,Critical,Sparks ignited dust in bag filter,Stockyard,Operator-1,A,2,None,"Area cordoned off, ERT informed",Design Defect,Sensor calibration done,Closed,0
INC-00134,BF001,Bag Filter,2024-02-25,23:56,Bag House Fire,Fire,Critical,Sparks ignited dust in bag filter,Unit-1,Maintenance Engineer,A,1,None,"Area cordoned off, ERT informed",Inadequate Inspection,Sensor calibration done,Investigating,0
INC-00135,BE001,Bucket Elevator,2024-07-12,18:16,Dust Explosion Risk,Safety,High,Hot spot detected in casing,Stockyard,Operator-2,B,3,None,Fire extinguisher deployed,Equipment Aging,Procedure updated,Investigating,0
INC-00136,JC001,Jaw Crusher,2023-07-31,17:15,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Power House,Operator-2,A,3,Minor,Spill contained with absorbent,Inadequate Inspection,Sensor calibration done,Open,16
INC-00137,VRM001,Vertical Roller Mill,2023-05-26,19:19,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Stockyard,Operator-2,B,0,None,"Equipment isolated, LOTO applied",Inadequate Inspection,Frequency of inspection increased,Investigating,0
INC-00138,VRM001,Vertical Roller Mill,2024-01-23,16:59,Foreign Object,Process,Low,Metal piece detected in separator,Power House,Operator-1,B,1,Minor,"Production stopped, supervisor informed",Inadequate Inspection,Re-training scheduled,Open,4
INC-00139,BC001,Belt Conveyor,2024-12-28,03:30,Hand Injury,Safety,High,Worker finger caught in idler,Silo Area,Operator-2,A,2,None,"Production stopped, supervisor informed",Environmental Factor,Frequency of inspection increased,Investigating,0
INC-00140,RK001,Rotary Kiln,2024-05-10,04:18,Burner Flashback,Fire,Critical,Burner flashback injured operator,Silo Area,Safety Officer,A,2,Minor,Fire extinguisher deployed,Procedural Lapse,Procedure updated,Investigating,27
INC-00141,BE001,Bucket Elevator,2024-06-21,22:24,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Power House,Maintenance Engineer,B,3,Minor,"First aid administered, ambulance called",Equipment Aging,Sensor calibration done,Closed,4
INC-00142,BC001,Belt Conveyor,2023-12-05,00:43,Hand Injury,Safety,High,Worker finger caught in idler,Silo Area,Maintenance Engineer,C,4,Major,"Equipment isolated, LOTO applied",Inadequate Inspection,Re-training scheduled,Investigating,5
INC-00143,AC001,Air Compressor,2023-11-05,20:29,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Silo Area,Operator-1,A,3,None,"Area cordoned off, ERT informed",Inadequate Inspection,Procedure updated,Investigating,0
INC-00144,PU001,Centrifugal Pump,2023-01-16,11:08,Near Miss,Safety,Low,Wrench fell from pump platform,Power House,Operator-1,B,3,Minor,"Area cordoned off, ERT informed",Material Failure,Frequency of inspection increased,Closed,16
INC-00145,BM001,Ball Mill,2023-09-08,10:16,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Unit-2,Maintenance Engineer,C,5,None,Fire extinguisher deployed,Design Defect,Procedure updated,Open,0
INC-00146,BC001,Belt Conveyor,2023-04-20,01:16,Material Spillage,Environmental,Medium,Material spillage from skirt board,Silo Area,Maintenance Engineer,C,4,None,"Area cordoned off, ERT informed",Material Failure,Re-training scheduled,Closed,0
INC-00147,ENG001,Cummins Engine,2023-11-12,00:28,Fuel Spill,Environmental,Medium,Diesel spill during refueling,Silo Area,Shift Incharge,B,3,None,"First aid administered, ambulance called",Equipment Aging,Re-training scheduled,Open,0
INC-00148,AC001,Air Compressor,2024-08-03,10:27,Noise Exceedance,Environmental,Low,Compressor noise above threshold,Power House,Safety Officer,A,1,Minor,"Production stopped, supervisor informed",Environmental Factor,Procedure updated,Investigating,25
INC-00149,VRM001,Vertical Roller Mill,2023-12-14,14:29,Foreign Object,Process,Low,Metal piece detected in separator,Silo Area,Maintenance Engineer,A,5,None,Spill contained with absorbent,Inadequate Inspection,Re-training scheduled,Investigating,0
INC-00150,VRM001,Vertical Roller Mill,2024-07-07,17:17,Dust Emission,Environmental,Medium,Excess dust leak from mill casing,Silo Area,Operator-1,C,4,None,Fire extinguisher deployed,Environmental Factor,Re-training scheduled,Investigating,0
INC-00151,ENG001,Cummins Engine,2023-12-19,11:23,Exhaust Leak,Safety,Medium,CO detected near engine room,Power House,Operator-2,C,4,None,"Production stopped, supervisor informed",Procedural Lapse,Guarding installed,Open,0
INC-00152,AC001,Air Compressor,2024-07-27,15:23,Pressure Vessel Leak,Mechanical,High,Air receiver developed crack,Power House,Operator-2,A,4,None,Fire extinguisher deployed,Human Error,Frequency of inspection increased,Open,0
INC-00153,AC001,Air Compressor,2024-08-22,16:16,Noise Exceedance,Environmental,Low,Compressor noise above threshold,Stockyard,Safety Officer,A,3,None,"First aid administered, ambulance called",Procedural Lapse,Procedure updated,Investigating,0
INC-00154,BE001,Bucket Elevator,2023-06-08,14:15,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Power House,Operator-1,B,0,None,Spill contained with absorbent,Design Defect,Re-training scheduled,Closed,0
INC-00155,BE001,Bucket Elevator,2024-03-10,13:39,Fall Hazard,Safety,Medium,Guard rail damaged at elevation platform,Unit-2,Safety Officer,C,4,None,Fire extinguisher deployed,Equipment Aging,Frequency of inspection increased,Closed,0
INC-00156,RK001,Rotary Kiln,2023-08-17,22:45,Burner Flashback,Fire,Critical,Burner flashback injured operator,Power House,Operator-1,A,2,None,"First aid administered, ambulance called",Human Error,Re-training scheduled,Investigating,0
INC-00157,VRM001,Vertical Roller Mill,2023-09-22,10:20,Dust Emission,Environmental,Medium,Excess dust leak from mill casing,Unit-2,Operator-1,A,1,Minor,"Equipment isolated, LOTO applied",Material Failure,PPE compliance reinforced,Investigating,13
INC-00158,BC001,Belt Conveyor,2024-05-20,15:43,Material Spillage,Environmental,Medium,Material spillage from skirt board,Power House,Safety Officer,C,1,Minor,"Equipment isolated, LOTO applied",Human Error,Frequency of inspection increased,Closed,14
INC-00159,JC001,Jaw Crusher,2023-11-01,10:29,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Silo Area,Maintenance Engineer,B,5,Major,Spill contained with absorbent,Equipment Aging,Guarding installed,Investigating,7
INC-00160,BC001,Belt Conveyor,2023-03-15,17:14,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Unit-1,Operator-1,A,2,None,Spill contained with absorbent,Inadequate Inspection,Procedure updated,Investigating,0
INC-00161,BF001,Bag Filter,2023-03-18,05:26,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-2,Shift Incharge,C,2,None,"Equipment isolated, LOTO applied",Design Defect,Sensor calibration done,Closed,0
INC-00162,PU001,Centrifugal Pump,2024-05-20,15:59,Electric Shock,Electrical,Critical,Operator received mild shock from panel,Unit-1,Operator-2,B,0,None,Fire extinguisher deployed,Environmental Factor,Guarding installed,Open,0
INC-00163,RK001,Rotary Kiln,2023-12-09,15:18,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Power House,Safety Officer,B,2,None,"First aid administered, ambulance called",Human Error,Frequency of inspection increased,Investigating,0
INC-00164,RK001,Rotary Kiln,2024-04-18,19:12,Hot Spot on Shell,Safety,High,Shell temperature exceeded 400°C,Silo Area,Safety Officer,C,5,None,"Area cordoned off, ERT informed",Environmental Factor,Frequency of inspection increased,Investigating,0
INC-00165,ENG001,Cummins Engine,2023-05-11,03:11,Fuel Spill,Environmental,Medium,Diesel spill during refueling,Silo Area,Operator-2,B,0,None,Fire extinguisher deployed,Environmental Factor,Sensor calibration done,Investigating,0
INC-00166,RK001,Rotary Kiln,2024-06-17,16:43,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Unit-1,Shift Incharge,A,1,Minor,"First aid administered, ambulance called",Procedural Lapse,Procedure updated,Investigating,30
INC-00167,RK001,Rotary Kiln,2024-01-04,20:34,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Power House,Safety Officer,C,5,Minor,"Production stopped, supervisor informed",Inadequate Inspection,Guarding installed,Open,22
INC-00168,BE001,Bucket Elevator,2024-05-06,16:53,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Unit-1,Safety Officer,C,5,Minor,"Production stopped, supervisor informed",Equipment Aging,Sensor calibration done,Open,3
INC-00169,BM001,Ball Mill,2023-11-28,12:46,Bearing Overheating,Mechanical,High,Smoke detected from pinion bearing,Silo Area,Maintenance Engineer,C,5,None,Spill contained with absorbent,Equipment Aging,Guarding installed,Closed,0
INC-00170,PU001,Centrifugal Pump,2024-08-08,05:41,Electric Shock,Electrical,Critical,Operator received mild shock from panel,Unit-2,Operator-2,A,2,None,"Production stopped, supervisor informed",Human Error,Guarding installed,Closed,0
INC-00171,RK001,Rotary Kiln,2024-07-17,00:06,Burner Flashback,Fire,Critical,Burner flashback injured operator,Unit-1,Operator-2,B,3,Major,"Area cordoned off, ERT informed",Material Failure,PPE compliance reinforced,Closed,30
INC-00172,RK001,Rotary Kiln,2023-09-18,21:09,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Unit-2,Operator-2,A,4,Minor,"Area cordoned off, ERT informed",Equipment Aging,Sensor calibration done,Open,26
INC-00173,AC001,Air Compressor,2023-11-26,23:14,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Stockyard,Maintenance Engineer,A,4,None,"First aid administered, ambulance called",Design Defect,PPE compliance reinforced,Investigating,0
INC-00174,PU001,Centrifugal Pump,2023-03-03,16:09,Electric Shock,Electrical,Critical,Operator received mild shock from panel,Power House,Operator-1,C,1,None,"Area cordoned off, ERT informed",Equipment Aging,Procedure updated,Open,0
INC-00175,JC001,Jaw Crusher,2023-10-24,23:18,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Unit-2,Safety Officer,B,4,Minor,"Production stopped, supervisor informed",Design Defect,Procedure updated,Closed,6
INC-00176,BC001,Belt Conveyor,2023-06-27,03:28,Material Spillage,Environmental,Medium,Material spillage from skirt board,Unit-2,Safety Officer,C,5,Minor,Fire extinguisher deployed,Human Error,Guarding installed,Closed,25
INC-00177,ENG001,Cummins Engine,2024-07-31,17:34,Exhaust Leak,Safety,Medium,CO detected near engine room,Stockyard,Operator-2,C,1,Minor,Fire extinguisher deployed,Inadequate Inspection,Guarding installed,Open,16
INC-00178,AC001,Air Compressor,2024-11-12,01:31,Noise Exceedance,Environmental,Low,Compressor noise above threshold,Power House,Maintenance Engineer,B,4,Major,"Production stopped, supervisor informed",Procedural Lapse,Frequency of inspection increased,Investigating,23
INC-00179,BM001,Ball Mill,2023-12-18,09:03,Oil Spill,Environmental,Medium,Approx 50 L gear oil spilled during change,Silo Area,Maintenance Engineer,A,1,None,Fire extinguisher deployed,Material Failure,Re-training scheduled,Investigating,0
INC-00180,JC001,Jaw Crusher,2023-12-14,09:48,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Unit-2,Operator-1,B,0,Major,Spill contained with absorbent,Procedural Lapse,Re-training scheduled,Investigating,8
INC-00181,JC001,Jaw Crusher,2024-03-23,19:07,Noise Violation,Environmental,Low,Noise exceeded 90 dB during operation,Unit-1,Shift Incharge,C,0,None,Fire extinguisher deployed,Inadequate Inspection,PPE compliance reinforced,Closed,0
INC-00182,BC001,Belt Conveyor,2023-04-18,10:13,Hand Injury,Safety,High,Worker finger caught in idler,Unit-2,Shift Incharge,C,3,None,"Production stopped, supervisor informed",Inadequate Inspection,Sensor calibration done,Open,0
INC-00183,BM001,Ball Mill,2024-01-31,08:03,Oil Spill,Environmental,Medium,Approx 50 L gear oil spilled during change,Power House,Shift Incharge,B,0,Minor,"Area cordoned off, ERT informed",Human Error,Re-training scheduled,Closed,13
INC-00184,ENG001,Cummins Engine,2023-02-20,03:57,Fuel Spill,Environmental,Medium,Diesel spill during refueling,Unit-1,Maintenance Engineer,C,1,None,"Production stopped, supervisor informed",Material Failure,Re-training scheduled,Closed,0
INC-00185,PU001,Centrifugal Pump,2023-07-21,07:00,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Power House,Operator-2,C,1,None,"Production stopped, supervisor informed",Equipment Aging,Sensor calibration done,Investigating,0
INC-00186,AC001,Air Compressor,2023-09-03,12:07,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Unit-1,Operator-2,C,4,None,Fire extinguisher deployed,Procedural Lapse,Guarding installed,Closed,0
INC-00187,BF001,Bag Filter,2023-11-16,20:03,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-1,Shift Incharge,C,1,None,"Production stopped, supervisor informed",Equipment Aging,PPE compliance reinforced,Open,0
INC-00188,BE001,Bucket Elevator,2023-05-25,07:51,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Silo Area,Operator-1,C,0,Minor,"Equipment isolated, LOTO applied",Equipment Aging,Sensor calibration done,Closed,21
INC-00189,BM001,Ball Mill,2023-07-23,19:54,Oil Spill,Environmental,Medium,Approx 50 L gear oil spilled during change,Silo Area,Maintenance Engineer,A,5,None,"Equipment isolated, LOTO applied",Procedural Lapse,Sensor calibration done,Open,0
INC-00190,JC001,Jaw Crusher,2023-04-05,07:25,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Unit-2,Maintenance Engineer,C,4,None,Spill contained with absorbent,Environmental Factor,PPE compliance reinforced,Closed,0
INC-00191,BE001,Bucket Elevator,2023-03-06,00:32,Fall Hazard,Safety,Medium,Guard rail damaged at elevation platform,Power House,Shift Incharge,A,2,None,Fire extinguisher deployed,Design Defect,Guarding installed,Open,0
INC-00192,ENG001,Cummins Engine,2024-10-17,02:21,Fuel Spill,Environmental,Medium,Diesel spill during refueling,Stockyard,Safety Officer,B,3,None,"Area cordoned off, ERT informed",Inadequate Inspection,Re-training scheduled,Open,0
INC-00193,PU001,Centrifugal Pump,2023-03-24,05:33,Near Miss,Safety,Low,Wrench fell from pump platform,Unit-2,Operator-2,C,3,None,Fire extinguisher deployed,Equipment Aging,PPE compliance reinforced,Open,0
INC-00194,RK001,Rotary Kiln,2024-06-22,10:20,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Power House,Safety Officer,B,1,None,Fire extinguisher deployed,Human Error,Frequency of inspection increased,Open,0
INC-00195,BE001,Bucket Elevator,2024-05-02,04:08,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Silo Area,Safety Officer,A,0,None,"Area cordoned off, ERT informed",Material Failure,Guarding installed,Open,0
INC-00196,AC001,Air Compressor,2024-07-31,12:08,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Power House,Shift Incharge,A,4,None,Fire extinguisher deployed,Human Error,Guarding installed,Open,0
INC-00197,PU001,Centrifugal Pump,2023-04-16,19:03,Electric Shock,Electrical,Critical,Operator received mild shock from panel,Silo Area,Operator-1,A,1,None,"Area cordoned off, ERT informed",Procedural Lapse,Procedure updated,Closed,0
INC-00198,PU001,Centrifugal Pump,2023-02-28,01:27,Near Miss,Safety,Low,Wrench fell from pump platform,Unit-2,Operator-1,B,4,Minor,Fire extinguisher deployed,Procedural Lapse,Guarding installed,Open,21
INC-00199,ENG001,Cummins Engine,2023-04-27,18:17,Exhaust Leak,Safety,Medium,CO detected near engine room,Unit-2,Safety Officer,B,5,Minor,Fire extinguisher deployed,Inadequate Inspection,Re-training scheduled,Open,10
INC-00200,JC001,Jaw Crusher,2024-12-15,00:57,Noise Violation,Environmental,Low,Noise exceeded 90 dB during operation,Silo Area,Safety Officer,B,3,None,"Equipment isolated, LOTO applied",Human Error,Procedure updated,Investigating,0
INC-00201,PU001,Centrifugal Pump,2024-06-08,07:36,Seal Burst,Mechanical,High,Sudden seal failure caused water spray,Silo Area,Safety Officer,B,2,None,Spill contained with absorbent,Design Defect,PPE compliance reinforced,Open,0
INC-00202,ENG001,Cummins Engine,2024-08-10,04:28,Exhaust Leak,Safety,Medium,CO detected near engine room,Unit-1,Operator-1,A,0,None,"Equipment isolated, LOTO applied",Equipment Aging,Sensor calibration done,Open,0
INC-00203,BE001,Bucket Elevator,2024-08-25,11:12,Fall Hazard,Safety,Medium,Guard rail damaged at elevation platform,Unit-1,Safety Officer,A,2,Minor,"Equipment isolated, LOTO applied",Inadequate Inspection,Re-training scheduled,Investigating,4
INC-00204,BM001,Ball Mill,2024-07-07,05:27,Worker Slip,Safety,Low,Worker slipped near lubrication point,Silo Area,Maintenance Engineer,A,1,None,"Area cordoned off, ERT informed",Equipment Aging,Sensor calibration done,Investigating,0
INC-00205,BE001,Bucket Elevator,2023-01-03,03:57,Chain Snapping,Mechanical,Critical,"Elevator chain snapped, buckets fell",Power House,Safety Officer,C,0,Major,"Production stopped, supervisor informed",Procedural Lapse,Procedure updated,Open,4
INC-00206,BC001,Belt Conveyor,2023-09-04,22:04,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Stockyard,Operator-1,C,0,None,Fire extinguisher deployed,Inadequate Inspection,Procedure updated,Open,0
INC-00207,BF001,Bag Filter,2024-11-15,04:07,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Power House,Shift Incharge,C,2,None,"Area cordoned off, ERT informed",Environmental Factor,Sensor calibration done,Closed,0
INC-00208,VRM001,Vertical Roller Mill,2024-08-25,20:28,Dust Emission,Environmental,Medium,Excess dust leak from mill casing,Unit-2,Shift Incharge,C,4,None,Spill contained with absorbent,Human Error,Sensor calibration done,Investigating,0
INC-00209,BM001,Ball Mill,2024-02-01,12:27,Worker Slip,Safety,Low,Worker slipped near lubrication point,Silo Area,Operator-1,A,4,None,Spill contained with absorbent,Material Failure,Re-training scheduled,Investigating,0
INC-00210,RK001,Rotary Kiln,2023-05-18,14:08,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Stockyard,Operator-1,C,3,None,"Equipment isolated, LOTO applied",Equipment Aging,Sensor calibration done,Investigating,0
INC-00211,BE001,Bucket Elevator,2024-02-09,20:33,Fall Hazard,Safety,Medium,Guard rail damaged at elevation platform,Power House,Operator-2,B,5,None,"Production stopped, supervisor informed",Procedural Lapse,Guarding installed,Investigating,0
INC-00212,BM001,Ball Mill,2023-06-07,21:12,Oil Spill,Environmental,Medium,Approx 50 L gear oil spilled during change,Silo Area,Operator-1,B,0,None,Spill contained with absorbent,Equipment Aging,Frequency of inspection increased,Open,0
INC-00213,BF001,Bag Filter,2023-09-25,11:37,Bag House Fire,Fire,Critical,Sparks ignited dust in bag filter,Stockyard,Safety Officer,A,1,Minor,"Area cordoned off, ERT informed",Material Failure,Sensor calibration done,Closed,22
INC-00214,BC001,Belt Conveyor,2024-03-24,21:26,Hand Injury,Safety,High,Worker finger caught in idler,Stockyard,Operator-2,B,1,None,"First aid administered, ambulance called",Human Error,Guarding installed,Closed,0
INC-00215,BM001,Ball Mill,2024-11-24,09:32,Worker Slip,Safety,Low,Worker slipped near lubrication point,Silo Area,Safety Officer,A,5,Major,"Production stopped, supervisor informed",Equipment Aging,PPE compliance reinforced,Closed,9
INC-00216,AC001,Air Compressor,2024-03-28,12:44,Pressure Vessel Leak,Mechanical,High,Air receiver developed crack,Unit-2,Maintenance Engineer,A,4,Minor,"First aid administered, ambulance called",Inadequate Inspection,Guarding installed,Closed,9
INC-00217,ENG001,Cummins Engine,2023-01-14,03:29,Engine Fire,Fire,Critical,Turbocharger oil leak led to fire,Stockyard,Operator-2,C,2,None,"Production stopped, supervisor informed",Procedural Lapse,Guarding installed,Investigating,0
INC-00218,ENG001,Cummins Engine,2024-06-27,07:32,Fuel Spill,Environmental,Medium,Diesel spill during refueling,Silo Area,Shift Incharge,C,0,None,"Production stopped, supervisor informed",Inadequate Inspection,PPE compliance reinforced,Investigating,0
INC-00219,BM001,Ball Mill,2023-07-21,11:43,Oil Spill,Environmental,Medium,Approx 50 L gear oil spilled during change,Unit-2,Operator-1,B,4,Minor,"First aid administered, ambulance called",Design Defect,Procedure updated,Investigating,12
INC-00220,VRM001,Vertical Roller Mill,2023-05-13,16:31,Foreign Object,Process,Low,Metal piece detected in separator,Power House,Operator-2,B,5,Minor,"Equipment isolated, LOTO applied",Inadequate Inspection,Guarding installed,Closed,5
INC-00221,VRM001,Vertical Roller Mill,2024-07-21,08:38,Hydraulic Hose Burst,Mechanical,High,"High pressure hose burst, oil spray",Power House,Maintenance Engineer,C,3,None,"Equipment isolated, LOTO applied",Procedural Lapse,Procedure updated,Investigating,0
INC-00222,RK001,Rotary Kiln,2024-02-15,22:06,Burner Flashback,Fire,Critical,Burner flashback injured operator,Stockyard,Shift Incharge,A,3,None,"Area cordoned off, ERT informed",Human Error,PPE compliance reinforced,Open,0
INC-00223,BF001,Bag Filter,2024-07-21,02:48,Confined Space Hazard,Safety,High,Worker entered without gas test,Stockyard,Safety Officer,A,1,Minor,"Area cordoned off, ERT informed",Equipment Aging,Re-training scheduled,Open,8
INC-00224,PU001,Centrifugal Pump,2024-06-29,20:37,Near Miss,Safety,Low,Wrench fell from pump platform,Stockyard,Safety Officer,A,0,None,"First aid administered, ambulance called",Human Error,PPE compliance reinforced,Open,0
INC-00225,RK001,Rotary Kiln,2023-06-29,05:51,Refractory Collapse,Mechanical,Critical,Refractory lining fell inside kiln,Power House,Safety Officer,C,5,Minor,"Production stopped, supervisor informed",Design Defect,Re-training scheduled,Investigating,20
INC-00226,JC001,Jaw Crusher,2023-09-17,08:07,Boulder Jam,Process,Medium,Oversize boulder jammed jaw opening,Unit-1,Safety Officer,B,1,None,"Production stopped, supervisor informed",Design Defect,Procedure updated,Closed,0
INC-00227,BF001,Bag Filter,2023-08-31,19:17,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Stockyard,Safety Officer,A,2,Minor,Fire extinguisher deployed,Equipment Aging,Guarding installed,Closed,8
INC-00228,AC001,Air Compressor,2023-11-27,05:40,Hot Oil Burn,Safety,Medium,Worker burned during oil change,Silo Area,Maintenance Engineer,B,1,Major,"Area cordoned off, ERT informed",Inadequate Inspection,PPE compliance reinforced,Open,10
INC-00229,JC001,Jaw Crusher,2024-03-06,01:33,Noise Violation,Environmental,Low,Noise exceeded 90 dB during operation,Silo Area,Shift Incharge,B,3,None,Fire extinguisher deployed,Inadequate Inspection,Procedure updated,Investigating,0
INC-00230,BF001,Bag Filter,2023-03-19,11:19,Confined Space Hazard,Safety,High,Worker entered without gas test,Unit-2,Shift Incharge,B,2,Minor,Spill contained with absorbent,Equipment Aging,Guarding installed,Open,14
INC-00231,BE001,Bucket Elevator,2023-11-25,00:04,Dust Explosion Risk,Safety,High,Hot spot detected in casing,Unit-2,Maintenance Engineer,B,1,None,Fire extinguisher deployed,Equipment Aging,Procedure updated,Closed,0
INC-00232,JC001,Jaw Crusher,2023-08-16,16:44,Noise Violation,Environmental,Low,Noise exceeded 90 dB during operation,Silo Area,Maintenance Engineer,A,3,None,Spill contained with absorbent,Human Error,Re-training scheduled,Investigating,0
INC-00233,BC001,Belt Conveyor,2023-01-29,23:02,Belt Fire,Fire,Critical,Friction caused belt fire at head pulley,Unit-1,Shift Incharge,B,0,Minor,Fire extinguisher deployed,Inadequate Inspection,Frequency of inspection increased,Closed,26
INC-00234,JC001,Jaw Crusher,2024-07-11,02:41,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Silo Area,Safety Officer,B,5,Minor,"Production stopped, supervisor informed",Human Error,Frequency of inspection increased,Closed,28
INC-00235,BF001,Bag Filter,2023-02-08,00:50,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Unit-2,Operator-2,B,5,None,"First aid administered, ambulance called",Material Failure,Frequency of inspection increased,Closed,0
INC-00236,BF001,Bag Filter,2024-07-15,15:06,Emission Exceedance,Environmental,Medium,Particulate emission exceeded limit,Unit-1,Shift Incharge,A,1,None,"Equipment isolated, LOTO applied",Material Failure,Guarding installed,Closed,0
INC-00237,JC001,Jaw Crusher,2023-12-27,22:47,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Stockyard,Maintenance Engineer,B,0,None,"Area cordoned off, ERT informed",Equipment Aging,Frequency of inspection increased,Open,0
INC-00238,BC001,Belt Conveyor,2024-05-29,01:55,Material Spillage,Environmental,Medium,Material spillage from skirt board,Silo Area,Maintenance Engineer,C,3,Minor,"Area cordoned off, ERT informed",Procedural Lapse,Guarding installed,Investigating,15
INC-00239,JC001,Jaw Crusher,2023-07-02,12:50,Flywheel Injury,Safety,High,Worker hand caught between belt & flywheel,Unit-2,Shift Incharge,A,1,None,"Equipment isolated, LOTO applied",Equipment Aging,Sensor calibration done,Investigating,0
INC-00240,ENG001,Cummins Engine,2024-06-03,14:06,Engine Fire,Fire,Critical,Turbocharger oil leak led to fire,Unit-2,Shift Incharge,B,3,None,Spill contained with absorbent,Equipment Aging,Procedure updated,Investigating,0
