InspectionID,EquipmentID,EquipmentName,InspectionDate,Inspector,InspectionType,Checkpoints,Readings,Result,Findings,Recommendations,NextInspectionDate,Status
INS-00001,BE001,Bucket Elevator,2024-09-28,Safety-Team,Quarterly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 38.2 mm/s | Belt Slippage: 13.5 mm/s | Bearing Temp: 58.3 °C | Drive Current: 41.8 A | Take-up Position: 49.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-09-28,Completed
INS-00124,BC001,Belt Conveyor,2023-04-11,Production-Team,Daily,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 59.5 mm/s | Idler Condition: 68.4 mm/s | Belt Tension: 24.7 mm/s | Motor Amps: 14.4 A | Slip Detection: 22.0 mm/s,Fail,Critical deviation in Motor Amps,"Immediate maintenance required, equipment taken offline",2023-05-11,Action Pending
INS-00125,BC001,Belt Conveyor,2023-02-15,Third-Party-Auditor,Weekly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 73.7 mm/s | Idler Condition: 20.5 mm/s | Belt Tension: 60.0 mm/s | Motor Amps: 40.7 A | Slip Detection: 38.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-05-16,Completed
INS-00126,AC001,Air Compressor,2024-06-29,Maintenance-Team,Monthly,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 87.6 bar | Oil Level: 54.3 mm/s | Air Temperature: 68.3 °C | Motor Amps: 43.5 A | Safety Valve: 17.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-07-06,Completed
INS-00127,ENG001,Cummins Engine,2023-10-30,Maintenance-Team,Monthly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 17.1 bar | Coolant Temp: 33.0 °C | Battery Voltage: 83.3 mm/s | Exhaust Temp: 85.5 °C | RPM: 35.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-10-31,Completed
INS-00128,AC001,Air Compressor,2024-03-12,QA-Team,Quarterly,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 27.8 bar | Oil Level: 29.8 mm/s | Air Temperature: 66.1 °C | Motor Amps: 41.9 A | Safety Valve: 49.6 mm/s,Conditional Pass,Minor deviation in Motor Amps,Schedule follow-up within 7 days,2024-03-13,Action Pending
INS-00129,RK001,Rotary Kiln,2023-11-05,Production-Team,Weekly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 25.9 °C | Burning Zone Temp: 45.8 °C | Drive Torque: 70.6 mm/s | Tyre Migration: 64.7 mm/s | ID Fan Draft: 54.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-11-06,Completed
INS-00130,VRM001,Vertical Roller Mill,2024-10-16,Production-Team,Annual,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 14.5 bar | Roller Gap: 52.5 mm/s | Gearbox Oil Level: 20.2 mm/s | Vibration: 33.3 mm/s | Mill DP: 26.0 mm/s,Conditional Pass,Minor deviation in Hydraulic Pressure,Schedule follow-up within 7 days,2025-01-14,Action Pending
INS-00131,ENG001,Cummins Engine,2023-05-11,Third-Party-Auditor,Monthly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 87.1 bar | Coolant Temp: 74.7 °C | Battery Voltage: 62.2 mm/s | Exhaust Temp: 18.4 °C | RPM: 57.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-05-18,Completed
INS-00132,PU001,Centrifugal Pump,2023-06-15,Maintenance-Team,Weekly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 76.5 bar | Vibration: 25.4 mm/s | Seal Condition: 37.2 mm/s | Bearing Temp: 40.7 °C | Motor Amps: 51.7 A,Conditional Pass,Minor deviation in Vibration,Schedule follow-up within 7 days,2023-07-15,Action Pending
INS-00133,ENG001,Cummins Engine,2024-08-19,QA-Team,Monthly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 27.8 bar | Coolant Temp: 64.0 °C | Battery Voltage: 37.1 mm/s | Exhaust Temp: 65.2 °C | RPM: 43.7 mm/s,Fail,Critical deviation in RPM,"Immediate maintenance required, equipment taken offline",2025-08-19,Action Pending
INS-00134,AC001,Air Compressor,2024-12-11,Third-Party-Auditor,Quarterly,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 13.5 bar | Oil Level: 89.1 mm/s | Air Temperature: 37.9 °C | Motor Amps: 47.3 A | Safety Valve: 34.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-12-12,Completed
INS-00135,BF001,Bag Filter,2023-01-18,Production-Team,Weekly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 80.5 bar | Compressor Pressure: 56.2 bar | Filter Condition: 38.6 mm/s | Fan Vibration: 69.8 mm/s | Dust Emission: 62.0 mm/s,Conditional Pass,Minor deviation in Dust Emission,Schedule follow-up within 7 days,2023-04-18,Action Pending
INS-00136,JC001,Jaw Crusher,2023-03-07,QA-Team,Weekly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 71.7 mm/s | Bearing Temp: 74.0 °C | Flywheel Alignment: 59.6 mm/s | Motor Amps: 15.9 A | Oil Level: 48.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-06-05,Completed
INS-00137,BE001,Bucket Elevator,2024-09-12,Safety-Team,Annual,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 66.7 mm/s | Belt Slippage: 77.7 mm/s | Bearing Temp: 65.3 °C | Drive Current: 32.4 A | Take-up Position: 36.8 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-09-13,Completed
INS-00138,BC001,Belt Conveyor,2023-11-24,Maintenance-Team,Weekly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 62.6 mm/s | Idler Condition: 73.0 mm/s | Belt Tension: 46.4 mm/s | Motor Amps: 23.0 A | Slip Detection: 11.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-12-01,Completed
INS-00139,VRM001,Vertical Roller Mill,2024-07-15,Maintenance-Team,Quarterly,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 34.1 bar | Roller Gap: 88.9 mm/s | Gearbox Oil Level: 34.9 mm/s | Vibration: 26.0 mm/s | Mill DP: 83.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-07-15,Completed
INS-00140,PU001,Centrifugal Pump,2023-09-17,Production-Team,Daily,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 50.3 bar | Vibration: 37.1 mm/s | Seal Condition: 46.8 mm/s | Bearing Temp: 16.6 °C | Motor Amps: 80.0 A,Pass,All parameters within normal range,Continue routine monitoring,2023-12-16,Completed
INS-00141,ENG001,Cummins Engine,2023-04-09,Production-Team,Monthly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 79.9 bar | Coolant Temp: 22.1 °C | Battery Voltage: 30.5 mm/s | Exhaust Temp: 61.6 °C | RPM: 17.4 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-04-08,Completed
INS-00142,AC001,Air Compressor,2023-02-12,Production-Team,Annual,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 42.2 bar | Oil Level: 73.6 mm/s | Air Temperature: 37.1 °C | Motor Amps: 27.2 A | Safety Valve: 84.7 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-02-13,Completed
INS-00143,ENG001,Cummins Engine,2023-08-30,Production-Team,Daily,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 73.4 bar | Coolant Temp: 55.0 °C | Battery Voltage: 41.2 mm/s | Exhaust Temp: 15.8 °C | RPM: 84.8 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-08-29,Completed
INS-00144,JC001,Jaw Crusher,2024-05-03,Third-Party-Auditor,Quarterly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 59.2 mm/s | Bearing Temp: 10.5 °C | Flywheel Alignment: 78.6 mm/s | Motor Amps: 38.3 A | Oil Level: 25.7 mm/s,Conditional Pass,Minor deviation in Jaw Plate Gap,Schedule follow-up within 7 days,2025-05-03,Action Pending
INS-00145,BM001,Ball Mill,2023-11-26,Third-Party-Auditor,Weekly,Bearing Temp | Oil Pressure | Motor Current | Shell Temperature | Lubrication Flow,Bearing Temp: 13.8 °C | Oil Pressure: 33.7 bar | Motor Current: 12.0 A | Shell Temperature: 43.9 °C | Lubrication Flow: 31.3 mm/s,Fail,Critical deviation in Motor Current,"Immediate maintenance required, equipment taken offline",2023-11-27,Action Pending
INS-00146,ENG001,Cummins Engine,2023-12-19,Safety-Team,Monthly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 51.7 bar | Coolant Temp: 49.4 °C | Battery Voltage: 48.1 mm/s | Exhaust Temp: 34.0 °C | RPM: 60.2 mm/s,Fail,Critical deviation in Exhaust Temp,"Immediate maintenance required, equipment taken offline",2024-01-18,Action Pending
INS-00147,BE001,Bucket Elevator,2024-07-08,Maintenance-Team,Annual,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 57.0 mm/s | Belt Slippage: 45.3 mm/s | Bearing Temp: 27.8 °C | Drive Current: 24.4 A | Take-up Position: 83.7 mm/s,Fail,Critical deviation in Chain Tension,"Immediate maintenance required, equipment taken offline",2024-08-07,Action Pending
INS-00148,BC001,Belt Conveyor,2024-03-01,QA-Team,Weekly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 47.4 mm/s | Idler Condition: 55.5 mm/s | Belt Tension: 12.5 mm/s | Motor Amps: 24.2 A | Slip Detection: 32.7 mm/s,Conditional Pass,Minor deviation in Belt Tension,Schedule follow-up within 7 days,2025-03-01,Action Pending
INS-00149,AC001,Air Compressor,2023-04-07,QA-Team,Quarterly,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 30.4 bar | Oil Level: 63.5 mm/s | Air Temperature: 64.4 °C | Motor Amps: 33.7 A | Safety Valve: 18.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-04-06,Completed
INS-00150,RK001,Rotary Kiln,2023-08-19,Third-Party-Auditor,Annual,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 32.1 °C | Burning Zone Temp: 68.9 °C | Drive Torque: 61.4 mm/s | Tyre Migration: 40.2 mm/s | ID Fan Draft: 66.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-08-26,Completed
INS-00151,BM001,Ball Mill,2023-12-01,Maintenance-Team,Monthly,Bearing Temp | Oil Pressure | Motor Current | Shell Temperature | Lubrication Flow,Bearing Temp: 75.9 °C | Oil Pressure: 44.2 bar | Motor Current: 61.7 A | Shell Temperature: 58.9 °C | Lubrication Flow: 11.7 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-12-08,Completed
INS-00152,JC001,Jaw Crusher,2023-11-21,Safety-Team,Annual,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 17.2 mm/s | Bearing Temp: 53.6 °C | Flywheel Alignment: 41.2 mm/s | Motor Amps: 88.0 A | Oil Level: 62.3 mm/s,Conditional Pass,Minor deviation in Jaw Plate Gap,Schedule follow-up within 7 days,2024-02-19,Action Pending
INS-00153,AC001,Air Compressor,2023-09-03,Safety-Team,Weekly,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 64.1 bar | Oil Level: 88.0 mm/s | Air Temperature: 23.7 °C | Motor Amps: 17.7 A | Safety Valve: 78.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-12-02,Completed
INS-00154,VRM001,Vertical Roller Mill,2024-11-27,QA-Team,Annual,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 26.9 bar | Roller Gap: 81.5 mm/s | Gearbox Oil Level: 27.4 mm/s | Vibration: 29.3 mm/s | Mill DP: 78.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-02-25,Completed
INS-00155,BC001,Belt Conveyor,2023-10-08,Production-Team,Annual,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 48.7 mm/s | Idler Condition: 37.4 mm/s | Belt Tension: 84.2 mm/s | Motor Amps: 85.3 A | Slip Detection: 85.4 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-10-09,Completed
INS-00156,VRM001,Vertical Roller Mill,2024-03-16,QA-Team,Quarterly,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 87.7 bar | Roller Gap: 15.6 mm/s | Gearbox Oil Level: 11.3 mm/s | Vibration: 51.3 mm/s | Mill DP: 74.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-04-15,Completed
INS-00157,BF001,Bag Filter,2023-04-18,Safety-Team,Daily,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 79.6 bar | Compressor Pressure: 19.5 bar | Filter Condition: 66.6 mm/s | Fan Vibration: 12.0 mm/s | Dust Emission: 51.9 mm/s,Fail,Critical deviation in Dust Emission,"Immediate maintenance required, equipment taken offline",2023-04-25,Action Pending
INS-00158,RK001,Rotary Kiln,2024-06-09,Production-Team,Weekly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 21.0 °C | Burning Zone Temp: 69.0 °C | Drive Torque: 54.2 mm/s | Tyre Migration: 66.4 mm/s | ID Fan Draft: 28.7 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-06-10,Completed
INS-00159,PU001,Centrifugal Pump,2024-03-20,Production-Team,Monthly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 64.2 bar | Vibration: 40.7 mm/s | Seal Condition: 77.4 mm/s | Bearing Temp: 36.1 °C | Motor Amps: 75.6 A,Pass,All parameters within normal range,Continue routine monitoring,2025-03-20,Completed
INS-00160,VRM001,Vertical Roller Mill,2024-07-18,Production-Team,Annual,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 71.1 bar | Roller Gap: 59.4 mm/s | Gearbox Oil Level: 81.9 mm/s | Vibration: 71.8 mm/s | Mill DP: 77.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-07-18,Completed
INS-00161,BE001,Bucket Elevator,2023-02-12,QA-Team,Weekly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 34.2 mm/s | Belt Slippage: 12.1 mm/s | Bearing Temp: 76.7 °C | Drive Current: 33.6 A | Take-up Position: 15.2 mm/s,Fail,Critical deviation in Drive Current,"Immediate maintenance required, equipment taken offline",2023-03-14,Action Pending
INS-00162,BC001,Belt Conveyor,2024-09-03,QA-Team,Annual,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 81.9 mm/s | Idler Condition: 64.5 mm/s | Belt Tension: 28.3 mm/s | Motor Amps: 88.4 A | Slip Detection: 87.4 mm/s,Fail,Critical deviation in Idler Condition,"Immediate maintenance required, equipment taken offline",2024-09-04,Action Pending
INS-00163,JC001,Jaw Crusher,2023-11-15,Safety-Team,Weekly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 80.8 mm/s | Bearing Temp: 48.3 °C | Flywheel Alignment: 40.9 mm/s | Motor Amps: 39.6 A | Oil Level: 46.8 mm/s,Conditional Pass,Minor deviation in Oil Level,Schedule follow-up within 7 days,2024-02-13,Action Pending
INS-00164,BC001,Belt Conveyor,2024-12-18,Maintenance-Team,Weekly,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 66.0 mm/s | Idler Condition: 31.8 mm/s | Belt Tension: 68.5 mm/s | Motor Amps: 86.9 A | Slip Detection: 71.4 mm/s,Conditional Pass,Minor deviation in Motor Amps,Schedule follow-up within 7 days,2024-12-19,Action Pending
INS-00165,ENG001,Cummins Engine,2024-02-16,Third-Party-Auditor,Daily,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 41.0 bar | Coolant Temp: 21.8 °C | Battery Voltage: 88.7 mm/s | Exhaust Temp: 89.4 °C | RPM: 54.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-05-16,Completed
INS-00166,RK001,Rotary Kiln,2023-02-23,Production-Team,Daily,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 35.7 °C | Burning Zone Temp: 30.3 °C | Drive Torque: 20.8 mm/s | Tyre Migration: 43.9 mm/s | ID Fan Draft: 75.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-02-23,Completed
INS-00167,BE001,Bucket Elevator,2023-02-20,Production-Team,Quarterly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 44.6 mm/s | Belt Slippage: 53.6 mm/s | Bearing Temp: 64.2 °C | Drive Current: 30.6 A | Take-up Position: 44.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-02-20,Completed
INS-00168,VRM001,Vertical Roller Mill,2024-08-19,Production-Team,Monthly,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 88.4 bar | Roller Gap: 23.0 mm/s | Gearbox Oil Level: 80.3 mm/s | Vibration: 61.1 mm/s | Mill DP: 18.8 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-08-19,Completed
INS-00169,PU001,Centrifugal Pump,2023-12-05,Maintenance-Team,Weekly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 60.7 bar | Vibration: 77.2 mm/s | Seal Condition: 60.8 mm/s | Bearing Temp: 35.1 °C | Motor Amps: 17.8 A,Pass,All parameters within normal range,Continue routine monitoring,2024-03-04,Completed
INS-00170,BC001,Belt Conveyor,2024-10-17,Safety-Team,Daily,Belt Alignment | Idler Condition | Belt Tension | Motor Amps | Slip Detection,Belt Alignment: 24.6 mm/s | Idler Condition: 45.8 mm/s | Belt Tension: 57.7 mm/s | Motor Amps: 14.6 A | Slip Detection: 20.3 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-01-15,Completed
INS-00171,ENG001,Cummins Engine,2023-04-13,QA-Team,Weekly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 27.2 bar | Coolant Temp: 38.7 °C | Battery Voltage: 40.2 mm/s | Exhaust Temp: 56.2 °C | RPM: 52.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-04-20,Completed
INS-00172,ENG001,Cummins Engine,2024-12-03,Safety-Team,Weekly,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 35.4 bar | Coolant Temp: 19.7 °C | Battery Voltage: 11.8 mm/s | Exhaust Temp: 31.2 °C | RPM: 60.4 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-12-03,Completed
INS-00173,AC001,Air Compressor,2023-04-17,QA-Team,Daily,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 34.3 bar | Oil Level: 44.9 mm/s | Air Temperature: 15.7 °C | Motor Amps: 45.6 A | Safety Valve: 49.7 mm/s,Conditional Pass,Minor deviation in Air Temperature,Schedule follow-up within 7 days,2023-07-16,Action Pending
INS-00174,BE001,Bucket Elevator,2024-04-22,Third-Party-Auditor,Monthly,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 74.0 mm/s | Belt Slippage: 71.8 mm/s | Bearing Temp: 80.3 °C | Drive Current: 84.0 A | Take-up Position: 21.5 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-04-22,Completed
INS-00175,PU001,Centrifugal Pump,2023-09-27,Third-Party-Auditor,Quarterly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 54.0 bar | Vibration: 73.6 mm/s | Seal Condition: 32.4 mm/s | Bearing Temp: 74.9 °C | Motor Amps: 12.4 A,Conditional Pass,Minor deviation in Vibration,Schedule follow-up within 7 days,2023-09-28,Action Pending
INS-00176,RK001,Rotary Kiln,2023-07-02,QA-Team,Monthly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 47.8 °C | Burning Zone Temp: 21.8 °C | Drive Torque: 87.4 mm/s | Tyre Migration: 34.2 mm/s | ID Fan Draft: 69.4 mm/s,Conditional Pass,Minor deviation in Drive Torque,Schedule follow-up within 7 days,2023-07-09,Action Pending
INS-00177,BE001,Bucket Elevator,2023-05-15,Production-Team,Annual,Chain Tension | Belt Slippage | Bearing Temp | Drive Current | Take-up Position,Chain Tension: 76.7 mm/s | Belt Slippage: 38.9 mm/s | Bearing Temp: 54.6 °C | Drive Current: 10.4 A | Take-up Position: 14.2 mm/s,Fail,Critical deviation in Belt Slippage,"Immediate maintenance required, equipment taken offline",2023-06-14,Action Pending
INS-00178,JC001,Jaw Crusher,2023-01-12,Safety-Team,Daily,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 39.0 mm/s | Bearing Temp: 32.4 °C | Flywheel Alignment: 47.2 mm/s | Motor Amps: 14.9 A | Oil Level: 34.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-04-12,Completed
INS-00179,BF001,Bag Filter,2023-03-05,Third-Party-Auditor,Daily,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 29.4 bar | Compressor Pressure: 34.7 bar | Filter Condition: 74.1 mm/s | Fan Vibration: 77.5 mm/s | Dust Emission: 25.2 mm/s,Conditional Pass,Minor deviation in Dust Emission,Schedule follow-up within 7 days,2023-03-12,Action Pending
INS-00180,BM001,Ball Mill,2023-12-06,Safety-Team,Daily,Bearing Temp | Oil Pressure | Motor Current | Shell Temperature | Lubrication Flow,Bearing Temp: 84.7 °C | Oil Pressure: 39.8 bar | Motor Current: 31.0 A | Shell Temperature: 46.6 °C | Lubrication Flow: 58.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-03-05,Completed
INS-00181,AC001,Air Compressor,2023-03-13,Third-Party-Auditor,Quarterly,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 27.2 bar | Oil Level: 57.4 mm/s | Air Temperature: 47.0 °C | Motor Amps: 61.5 A | Safety Valve: 42.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-06-11,Completed
INS-00182,BF001,Bag Filter,2023-06-07,Safety-Team,Annual,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 38.6 bar | Compressor Pressure: 61.9 bar | Filter Condition: 80.3 mm/s | Fan Vibration: 54.0 mm/s | Dust Emission: 51.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-07-07,Completed
INS-00183,ENG001,Cummins Engine,2023-04-18,Third-Party-Auditor,Annual,Oil Pressure | Coolant Temp | Battery Voltage | Exhaust Temp | RPM,Oil Pressure: 70.6 bar | Coolant Temp: 28.9 °C | Battery Voltage: 31.9 mm/s | Exhaust Temp: 65.7 °C | RPM: 56.9 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-04-19,Completed
INS-00184,VRM001,Vertical Roller Mill,2024-02-06,QA-Team,Daily,Hydraulic Pressure | Roller Gap | Gearbox Oil Level | Vibration | Mill DP,Hydraulic Pressure: 40.0 bar | Roller Gap: 78.4 mm/s | Gearbox Oil Level: 21.7 mm/s | Vibration: 64.4 mm/s | Mill DP: 16.2 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2025-02-05,Completed
INS-00185,RK001,Rotary Kiln,2023-10-11,Third-Party-Auditor,Daily,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 55.8 °C | Burning Zone Temp: 80.7 °C | Drive Torque: 84.6 mm/s | Tyre Migration: 82.3 mm/s | ID Fan Draft: 78.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-11-10,Completed
INS-00186,BF001,Bag Filter,2024-04-12,Safety-Team,Quarterly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 10.8 bar | Compressor Pressure: 12.8 bar | Filter Condition: 61.9 mm/s | Fan Vibration: 25.9 mm/s | Dust Emission: 33.0 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-04-19,Completed
INS-00187,PU001,Centrifugal Pump,2024-05-11,Maintenance-Team,Weekly,Discharge Pressure | Vibration | Seal Condition | Bearing Temp | Motor Amps,Discharge Pressure: 20.2 bar | Vibration: 88.8 mm/s | Seal Condition: 14.0 mm/s | Bearing Temp: 59.7 °C | Motor Amps: 50.7 A,Conditional Pass,Minor deviation in Bearing Temp,Schedule follow-up within 7 days,2024-08-09,Action Pending
INS-00188,BF001,Bag Filter,2023-10-15,Production-Team,Monthly,Differential Pressure | Compressor Pressure | Filter Condition | Fan Vibration | Dust Emission,Differential Pressure: 86.1 bar | Compressor Pressure: 18.2 bar | Filter Condition: 41.5 mm/s | Fan Vibration: 52.6 mm/s | Dust Emission: 80.6 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-01-13,Completed
INS-00189,JC001,Jaw Crusher,2023-06-21,Maintenance-Team,Weekly,Jaw Plate Gap | Bearing Temp | Flywheel Alignment | Motor Amps | Oil Level,Jaw Plate Gap: 23.7 mm/s | Bearing Temp: 10.9 °C | Flywheel Alignment: 39.5 mm/s | Motor Amps: 79.9 A | Oil Level: 11.7 mm/s,Conditional Pass,Minor deviation in Oil Level,Schedule follow-up within 7 days,2023-09-19,Action Pending
INS-00190,AC001,Air Compressor,2024-04-20,Third-Party-Auditor,Daily,Discharge Pressure | Oil Level | Air Temperature | Motor Amps | Safety Valve,Discharge Pressure: 22.6 bar | Oil Level: 66.0 mm/s | Air Temperature: 45.7 °C | Motor Amps: 72.6 A | Safety Valve: 56.1 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2024-07-19,Completed
INS-00191,RK001,Rotary Kiln,2023-09-14,QA-Team,Weekly,Kiln Shell Temp | Burning Zone Temp | Drive Torque | Tyre Migration | ID Fan Draft,Kiln Shell Temp: 51.1 °C | Burning Zone Temp: 71.7 °C | Drive Torque: 64.3 mm/s | Tyre Migration: 41.9 mm/s | ID Fan Draft: 57.1 mm/s,Pass,All parameters within normal range,Continue routine monitoring,2023-12-13,Completed
